NTDID,AGENCY,CITY,STATE,UACE,UZA,MPO_AREA,MPO_FIPS,MPO_NAME,AGENCY_NAME
60113,City of Cleburne,CLEBURNE,TX,22042,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments,City of Cleburne
60114,STAR Transit,Terrell,TX,22042,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments,STAR Transit
60115,Public Transit Services,MINERAL WELLS,TX,22042,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments,Public Transit Services
60133,McKinney Avenue Transit Authority,DALLAS,TX,22042,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments,McKinney Avenue Transit Authority
60101,Denton County Transportation Authority,LEWISVILLE,TX,23500,"Denton-Lewisville, TX",Dallas,NCTCOG,North Central Texas Council of Governments,Denton County Transportation Authority
60116,"SPAN, Incorporated",DENTON,TX,23500,"Denton-Lewisville, TX",Dallas,NCTCOG,North Central Texas Council of Governments,"SPAN, Incorporated"
80285,Via Mobility Services,BOULDER,CO,9298,"Boulder, CO",Denver,DRCOG,Denver Regional Council of Governments,Via Mobility Services
80006,Denver Regional Transportation District,DENVER,CO,23527,"Denver-Aurora, CO",Denver,DRCOG,Denver Regional Council of Governments,Denver Regional Transportation District
80108,Denver Regional Council of Governments,Denver,CO,23527,"Denver-Aurora, CO",Denver,DRCOG,Denver Regional Council of Governments,Denver Regional Council of Governments
80109,Denver Regional Council of Governments,DENVER,CO,23527,"Denver-Aurora, CO",Denver,DRCOG,Denver Regional Council of Governments,Denver Regional Council of Governments
50040,Ann Arbor Area Transportation Authority,ANN ARBOR,MI,2602,"Ann Arbor, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments,Southeast Michigan Council of Governments
50158,University of Michigan Parking and Transportation Services,Ann Arbor,MI,2602,"Ann Arbor, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments,Southeast Michigan Council of Governments
50031,Suburban Mobility Authority for Regional Transportation,DETROIT,MI,23824,"Detroit, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments,Southeast Michigan Council of Governments
50119,City of Detroit ,DETROIT,MI,23824,"Detroit, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments,Southeast Michigan Council of Governments
50141,Detroit Transportation Corporation,Detroit,MI,23824,"Detroit, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments,Southeast Michigan Council of Governments
50193,Enterprise Rideshare - Michigan,Farmington Hills,MI,23824,"Detroit, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments,Southeast Michigan Council of Governments
50213,M-1 Rail,Detroit,MI,23824,"Detroit, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments,Southeast Michigan Council of Governments
50522,Lake Erie Transportation Commission,Monroe,MI,58357,"Monroe, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments,Southeast Michigan Council of Governments
50148,Blue Water Area Transportation Commission,PORT HURON,MI,71155,"Port Huron, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments,Southeast Michigan Council of Governments
